,name,job_title,industry,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,total employee estimate
1376,aldi, Store Assistant,retail,"Crewe, England, England",3,2.0,3.0,3.0,3.0,4.0,268
1377,aldi, Store Assistant,printing,"Crewe, England, England",3,2.0,3.0,3.0,3.0,4.0,7
1378,aldi, Deputy Manager,retail,"Glasgow, Scotland, Scotland",4,3.0,4.0,4.0,4.0,4.0,268
1379,aldi, Deputy Manager,printing,"Glasgow, Scotland, Scotland",4,3.0,4.0,4.0,4.0,4.0,7
1382,aldi, Retail Sales Assistant,retail,"Warrington, North West England, England, England",5,5.0,5.0,5.0,4.0,5.0,268
1383,aldi, Retail Sales Assistant,printing,"Warrington, North West England, England, England",5,5.0,5.0,5.0,4.0,5.0,7
1384,aldi, Customer Serice,retail,"Birmingham, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1385,aldi, Customer Serice,printing,"Birmingham, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1386,aldi, Store Associate,retail,"Hastings, England, England",3,2.0,2.0,2.0,3.0,2.0,268
1387,aldi, Store Associate,printing,"Hastings, England, England",3,2.0,2.0,2.0,3.0,2.0,7
1388,aldi, Aldi Store Assistant,retail,"Coleshill, West Midlands, England, England",4,2.0,3.0,5.0,3.0,4.0,268
1389,aldi, Aldi Store Assistant,printing,"Coleshill, West Midlands, England, England",4,2.0,3.0,5.0,3.0,4.0,7
1390,aldi, HGV DriverClass1,retail,"Neston, North West England, England, England",5,5.0,5.0,5.0,3.0,4.0,268
1391,aldi, HGV DriverClass1,printing,"Neston, North West England, England, England",5,5.0,5.0,5.0,3.0,4.0,7
1392,aldi, Aldi Associate,retail,"Atherstone, England, England",3,3.0,2.0,4.0,2.0,1.0,268
1393,aldi, Aldi Associate,printing,"Atherstone, England, England",3,3.0,2.0,4.0,2.0,1.0,7
1398,aldi, Warehouse Section Leader,retail,"Bolton, England, England",5,5.0,5.0,5.0,5.0,5.0,268
